gpu,batch,dtype,mode,num_chunks,median_us,p95_us,stdev_us,iterations
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,eager,16,43.855998665094376,49.95200037956238,2.6887981767811455,200
NVIDIA B300 SXM6 AC,1,torch.float8_e4m3fn,graph,16,10.879999957978725,11.359999887645245,0.5675255569191698,200
NVIDIA B300 SXM6 AC,4,torch.float8_e4m3fn,eager,16,42.927999049425125,49.15200173854828,2.159649113823711,200
NVIDIA B300 SXM6 AC,4,torch.float8_e4m3fn,graph,16,12.97600008547306,13.279999606311321,0.7430997306802132,200
NVIDIA B300 SXM6 AC,8,torch.float8_e4m3fn,eager,8,43.90399903059006,51.13599821925163,2.7311487318330494,200
NVIDIA B300 SXM6 AC,8,torch.float8_e4m3fn,graph,8,18.239999189972878,19.039999693632126,0.7494308895211319,200
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,eager,4,48.62400144338608,55.80800026655197,2.5581001325683537,200
NVIDIA B300 SXM6 AC,16,torch.float8_e4m3fn,graph,4,27.23200060427189,28.063999488949776,0.6770899246582275,200
NVIDIA B300 SXM6 AC,32,torch.float8_e4m3fn,eager,2,68.03199648857117,69.98399645090103,1.872093696269858,200
NVIDIA B300 SXM6 AC,32,torch.float8_e4m3fn,graph,2,47.648001462221146,47.968000173568726,0.5325489830620262,200
